feature,mean_abs_shap
PAY_0,0.49509248
utilization_ratio,0.1659669
BILL_AMT1,0.1472589
LIMIT_BAL,0.13436827
PAY_2,0.10819005
PAY_AMT3,0.103421494
PAY_AMT2,0.09837862
PAY_AMT1,0.09545501
PAY_3,0.08848184
PAY_AMT4,0.06332789
PAY_AMT6,0.05319975
PAY_6,0.05311546
total_payment,0.052666303
PAY_5,0.05188894
BILL_AMT3,0.05026672
MARRIAGE,0.04904355
BILL_AMT6,0.04838345
PAY_4,0.047022264
BILL_AMT5,0.046541147
ID,0.04630659
PAY_AMT5,0.044210874
AGE,0.041516542
max_delay,0.038547345
total_bill,0.037941836
EDUCATION,0.037214313
SEX,0.03447711
BILL_AMT4,0.034307018
avg_delay,0.03347899
BILL_AMT2,0.033380207
